country;pop2023;pop2024
India;1428627663;1441719852
China;1425671352;1425178782
United States;339996563;341814420
Indonesia;277534122;279798049
Pakistan;240485658;245209815
Nigeria;223804632;229152217
Brazil;216422446;217637297
Bangladesh;172954319;174701211
Russia;144444359;143957079
Ethiopia;126527060;129719719
Mexico;128455567;129388467
Japan;123294513;122631432
Philippines;117337368;119106224
Egypt;112716598;114484252
DR Congo;102262808;105625114
Vietnam;98858950;99497680
Iran;89172767;89809781
Turkey;85816199;86260417
Germany;83294633;83252474
Thailand;71801279;71885799
Tanzania;67438106;69419073
United Kingdom;67736802;67961439
France;64756584;64881830
South Africa;60414495;61020221
Italy;58870762;58697744
Kenya;55100586;56203030
Myanmar;54577997;54964694
Colombia;52085168;52340774
South Korea;51784059;51741963
Uganda;48582334;49924252
Sudan;48109006;49358228
Spain;47519628;47473373
Iraq;45504560;46523657
Algeria;45606480;46278751
Argentina;45773884;46057866
Afghanistan;42239854;43372950
Poland;41026067;40221726
Canada;38781291;39107046
Morocco;37840044;38211459
Ukraine;36744634;37937821
Angola;36684202;37804634
Saudi Arabia;36947025;37473929
Uzbekistan;35163944;35673804
Yemen;34449825;35219853
Mozambique;33897354;34858402
Ghana;34121985;34777522
Peru;34352719;34683444
Malaysia;34308525;34671895
Nepal;30896590;31240315
Madagascar;30325732;31056610
Ivory Coast;28873034;29603302
Venezuela;28838499;29395334
Cameroon;28647293;29394433
Niger;27202843;28238972
Australia;26439111;26699482
North Korea;26160821;26244582
Syria;23227014;24348053
Mali;23293698;24015789
Taiwan;23923276;23950214
Burkina Faso;23251485;23840247
Sri Lanka;21893579;21949268
Malawi;20931751;21475962
Zambia;20569737;21134695
Kazakhstan;19606633;19828165
Chile;19629590;19658839
Romania;19892812;19618996
Chad;18278568;18847148
Somalia;18143378;18706922
Ecuador;18190484;18377367
Guatemala;18092026;18358430
Senegal;17763163;18221567
Netherlands;17618299;17671125
Cambodia;16944826;17121847
Zimbabwe;16665409;17020321
Guinea;14190612;14528770
Rwanda;14094683;14414910
Benin;13712828;14080072
Burundi;13238559;13591657
Bolivia;12388571;12567336
Tunisia;12458223;12564689
Haiti;11724763;11867030
Belgium;11686140;11715774
Dominican Republic;11332972;11434005
Jordan;11337052;11384922
South Sudan;11088796;11277092
Cuba;11194449;11174587
Honduras;10593798;10759406
Sweden;10612086;10673669
Papua New Guinea;10329931;10515788
Czech Republic;10495295;10503734
Azerbaijan;10412651;10462904
Tajikistan;10143543;10331513
Greece;10341277;10302720
Portugal;10247605;10223349
